SpeakerID,d,sgm,Cohens_d
14,0.682934323990959,0.00580005287037532,0.673052560375215
15,0.642256580102148,0.00747950000324735,0.515476740657397
16,0.694668940570337,0.00635689762332467,0.720016504969752
17,0.648230691706433,0.00838244997543566,0.538176249987356
18,0.431619024726307,0.0107974235596105,-0.243603577706068
20,0.696665204423233,0.00952902603510015,0.728084077942126
19,0.549846312178388,0.011788811754798,0.177162866723897
12,0.738628308574014,0.00928072276748368,0.903855405225495
13,0.554495045717993,0.009137217876189,0.193784627607905
8,0.622316869665942,0.00735796840339261,0.44062852148472
9,0.729429254886319,0.00784492111192211,0.864208581598226
10,0.652365891106583,0.00765549846413932,0.553969790544842
11,0.618125973289701,0.0075323481178241,0.425059706869949
1,0.786219097233585,0.00723711554401234,1.12199577593774
3,0.739372199691464,0.00596751994288334,0.907092325613131
5,0.600652623001208,0.011088958175404,0.360676359558527
2,0.648760893246187,0.0111427403293131,0.540197456731033
4,0.670853128629138,0.00734553003411731,0.625464416762279
6,0.672262565102844,0.00737502682178909,0.630978846233722
7,0.756305574909833,0.00575256451401587,0.982125865486781
